Step,Entropy,Max Depth, Assembly, Omega, Order
317,1.0949143184120975,2,12,99,14
318,0.9912642605354287,2,11,91,13
319,0.9912642605354287,2,11,91,13
320,1.0529815751302694,2,13,106,15
321,0.9463729359854419,2,12,98,14
322,0.9912642605354287,2,11,91,13
323,0.9912642605354287,2,11,91,13
324,1.121640762186858,2,13,118,16
325,1.134969974603941,2,15,133,18
326,1.1411535278793057,2,17,149,20
327,1.1625633078480364,2,19,176,23
328,1.1625633078480364,2,19,176,23
329,1.143320102127766,2,18,167,22
330,1.1657840518150733,2,17,160,21
331,1.1657840518150733,2,17,160,21
332,1.1625633078480364,2,19,176,23
333,1.181899057917561,2,18,169,22
334,1.1752835873133534,2,20,185,24
335,1.191603636543317,2,19,178,23
336,1.2072100267448116,2,18,171,22
337,1.1964209471916636,2,20,187,24
338,1.1867198445327565,2,22,203,26
339,1.1974776241409462,2,21,196,25
340,1.5637962376877474,4,23,222,27
341,1.5637962376877474,4,23,222,27
342,1.5637962376877474,4,23,222,27
343,1.5637962376877474,4,23,222,27
344,1.5822359560770862,4,22,215,26
345,1.5995563653739033,4,21,208,25
346,1.6152529693093274,4,20,201,24
347,1.62864574657914,4,19,194,23
348,1.5943029514736247,4,21,210,25
349,1.8571530222550425,5,22,243,27
350,1.817999473029487,5,24,259,29
351,1.8404514287124563,5,23,250,28
352,1.8571530222550425,5,22,243,27
353,1.817999473029487,5,24,259,29
354,1.8404514287124563,5,23,250,28
355,1.6780986942499816,4,22,229,27
356,1.6912539120823422,4,21,222,26
357,1.658802631313159,4,23,238,28
358,1.658802631313159,4,23,238,28
359,1.3713054016517379,3,22,220,27
360,1.3537427557213082,3,24,236,29
361,1.437436632688363,3,25,257,31
362,1.420376403083,3,27,273,33
363,1.3499214199431195,3,25,243,30
364,1.334282221599798,3,27,259,32
365,1.344314767066416,3,26,250,31
366,1.3533593350214213,3,25,241,30
367,1.3611297797951356,3,24,234,29
368,1.3672649607197351,3,23,227,28
369,1.3672649607197351,3,23,227,28
370,1.3713054016517379,3,22,220,27
371,1.3537427557213082,3,24,236,29
372,1.3537427557213082,3,24,236,29
373,1.3866141742624585,3,22,209,26
374,1.4247346189316263,3,20,182,23
375,1.4394969869215133,3,19,173,22
376,1.4519076150714063,3,18,166,21
377,1.4689955935892813,3,18,156,20
378,1.4832261969709113,3,17,147,19
379,1.4832261969709113,3,17,147,19
